severity,issue_type,product_id,product_name,variant_id,color,size,current_value,suggested_value,safe_auto_fix_candidate,requires_manual_decision,recommended_action,notes
"critical","Duplicate slugs","1","Nike Air Jordan 4","","","","slug=nike-air-jordan-4","nike-air-jordan-4-p1","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 1. DB slug: nike-air-jordan-4. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","2","Adidas Black White Running Sneakers for Men","","","","slug=adidas-black-white-running-sneakers","adidas-black-white-running-sneakers-p2","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 2. DB slug: adidas-black-white-running-sneakers. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","4","Adidas Terrex X Goretex-2 Sneakers","","","","slug=adidas-terrex-x-goretex-2","adidas-terrex-x-goretex-2-p4","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 4, 64. DB slug: nike-nike-air-jordan-4-copy. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","7","Nike Shox Black Sneakers","","","","slug=nike-shox-black-sneakers","nike-shox-black-sneakers-p7","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 7. DB slug: nike-shox-black-sneakers. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","8","Nike Dunk Low White Black Sneakers","","","","slug=nike-dunk-low-white-black-sneakers","nike-dunk-low-white-black-sneakers-p8","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 8. DB slug: nike-dunk-low-white-black-sneakers. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","9","ASICS Sneakers","","","","slug=asics-blue-white-sneakers","asics-blue-white-sneakers-p9","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 9. DB slug: asics-blue-white-sneakers. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","10","QA Test Product","","","","slug=qa-test-product","qa-test-product-p10","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 10. DB slug: qa-test-product. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","25","Adidas Terrex X Goretex-2","","","","slug=adidas-terrex-x-goretex-2-white-black","adidas-terrex-x-goretex-2-white-black-p25","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 25. DB slug: adidas-terrex-x-goretex-2-white-black. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","26","شراب","","","","slug=شراب","شراب-p26","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 26. DB slug: شراب. Canonical proposal: keep primary slug and append product id for duplicates."
"critical","Duplicate slugs","27","Nike White and Black Casual Sneakers","","","","slug=nike-white-black-sneakers-men","nike-white-black-sneakers-men-p27","false","true","review and assign canonical slug with redirect plan","Public URL risk. Redirects required after manual approval. Affected products: 27. DB slug: nike-white-black-sneakers-men. Canonical proposal: keep primary slug and append product id for duplicates."
