severity,issue_type,product_id,product_name,variant_id,color,size,current_value,suggested_value,safe_auto_fix_candidate,requires_manual_decision,recommended_action,notes
"critical","Available with zero stock","7","Nike Shox Black Sneakers","","","","stock=0; status=active; is_active=true","","false","true","mark unavailable or update stock","Product is active but has no stock. Keep AI from treating it as sellable until stock is reconciled."
"critical","Available with zero stock","25","Adidas Terrex X Goretex-2","","","","stock=0; status=active; is_active=true","","false","true","mark unavailable or update stock","Product is active but has no stock. Keep AI from treating it as sellable until stock is reconciled."
"critical","Available with zero stock","35","Edit Due Test 1780090465911-99171","","","","stock=100; status=active; is_active=true","","false","true","mark unavailable or update stock","Product is active but has no stock. Keep AI from treating it as sellable until stock is reconciled."
"medium","Stock inconsistencies","2","Adidas Black White Running Sneakers for Men","","","","product_stock=0; variant_stock_sum=0; active_variant_stock_sum=0","derive from variant stock (0)","false","true","reconcile product stock with variant stock","Derive AI-facing availability from active variant stock where the product is variant-managed; do not write back automatically."
"medium","Stock inconsistencies","4","Adidas Terrex X Goretex-2 Sneakers","","","","product_stock=0; variant_stock_sum=0; active_variant_stock_sum=0","derive from variant stock (0)","false","true","reconcile product stock with variant stock","Derive AI-facing availability from active variant stock where the product is variant-managed; do not write back automatically."
"medium","Stock inconsistencies","5","DC Men's Black Casual Sneakers","","","","product_stock=0; variant_stock_sum=0; active_variant_stock_sum=0","derive from variant stock (0)","false","true","reconcile product stock with variant stock","Derive AI-facing availability from active variant stock where the product is variant-managed; do not write back automatically."
"medium","Stock inconsistencies","8","Nike Dunk Low White Black Sneakers","","","","product_stock=0; variant_stock_sum=0; active_variant_stock_sum=0","derive from variant stock (0)","false","true","reconcile product stock with variant stock","Derive AI-facing availability from active variant stock where the product is variant-managed; do not write back automatically."
"medium","Stock inconsistencies","9","ASICS Sneakers","","","","product_stock=0; variant_stock_sum=0; active_variant_stock_sum=0","derive from variant stock (0)","false","true","reconcile product stock with variant stock","Derive AI-facing availability from active variant stock where the product is variant-managed; do not write back automatically."
"medium","Stock inconsistencies","27","Nike White and Black Casual Sneakers","","","","product_stock=0; variant_stock_sum=2; active_variant_stock_sum=2","derive from variant stock (2)","false","true","reconcile product stock with variant stock","Derive AI-facing availability from active variant stock where the product is variant-managed; do not write back automatically."
"medium","Stock inconsistencies","60","Jordan 4","","","","product_stock=0; variant_stock_sum=0; active_variant_stock_sum=0","derive from variant stock (0)","false","true","reconcile product stock with variant stock","Derive AI-facing availability from active variant stock where the product is variant-managed; do not write back automatically."
