severity,issue_type,product_id,product_name,variant_id,color,size,current_value,suggested_value,safe_auto_fix_candidate,requires_manual_decision,recommended_action,notes
"critical","Missing price source","5","DC Men's Black Casual Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"critical","Missing price source","7","Nike Shox Black Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"critical","Missing price source","8","Nike Dunk Low White Black Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"critical","Missing price source","9","ASICS Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"critical","Missing price source","25","Adidas Terrex X Goretex-2","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"critical","Missing price source","27","Nike White and Black Casual Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"critical","Missing price source","28","Nike White and Black Casual Sneakers Copy","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"critical","Missing price source","60","Jordan 4","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","5","DC Men's Black Casual Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","7","Nike Shox Black Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","8","Nike Dunk Low White Black Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","9","ASICS Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","25","Adidas Terrex X Goretex-2","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","27","Nike White and Black Casual Sneakers","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","28","Nike White and Black Casual Sneakers Copy","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
"medium","Zero selling price","60","Jordan 4","","","","selling_price=0; sale_price=0; display_price=0","","false","true","enter selling price manually","Never invent prices. Use admin UI/export workflow for manual completion."
